title,mse,rmse,psnr,ssim
473_IM-0626-0025_anon,0.0007282383739948273,0.0269858930259943,31.37726396064345,0.757382995090893
227_IM-0195-0006_anon,0.0010004743235185742,0.031630273908376694,29.99794042760606,0.5518572901780032
369_IM-0462-0004_anon,0.000768582453019917,0.027723319828510284,31.14309521712855,0.6326871607757215
383_IM-0317-0010_anon,0.000758616894017905,0.027543000876903534,31.199774865073206,0.6499208186995269
472_IM-0155-0010_anon,0.0012772828340530396,0.03573909401893616,28.937129085703766,0.5359836191807225
218_IM-0036-0001_anon,0.000918983481824398,0.030314739793539047,30.366923081107473,0.6499426114794703
161_IM-0496-0003_anon,0.0008477255469188094,0.029115727171301842,30.717447315716917,0.6747770981540885
630_IM-0254-0013_anon,0.0007405176293104887,0.02721245400607586,31.304646218297172,0.6182102906998856
163_IM-0638-6400_anon,0.0011677040020003915,0.034171685576438904,29.32667258583814,0.4644459594699168
32_IM-0464-14592_anon,0.00088733114534989,0.029788104817271233,30.519142463547908,0.68565534163741
411_IM-0727-0028_anon,0.0007629248430021107,0.02762109413743019,31.17518214662272,0.6887537388515278
298_IM-0257-0001_anon,,,,
34_IM-0359-0004-0002_anon,0.0007283424492925406,0.026987820863723755,31.376643850052407,0.6663441462190043
417_IM-0149-0027_anon,,,,
51_IM-0419-1280_anon,0.000779012858401984,0.027910802513360977,31.084553255375376,0.734574278673668
525_IM-0550-0042_anon,,,,
455_IM-0048-0045_anon,0.0007027601823210716,0.02650962397456169,31.53192829763885,0.7820905175753039
386_IM-0229-0013_anon,0.0006638108752667904,0.025764526799321175,31.779556128183906,0.7655167753497482
1_IM-0001-0059_anon,0.0007341776508837938,0.02709571272134781,31.341988417698015,0.7725296667218686
129_IM-0531-0078_anon,0.000866074813529849,0.029429148882627487,30.6244456771475,0.6633081982209879
22_IM-0038-0004_anon,0.0009328558808192611,0.030542690306901932,30.30185444452423,0.7535199232842921
2_IM-0383-0001_anon,0.0007516578771173954,0.027416380122303963,31.239797436039556,0.7405140843241887
256_IM-0130-6912_anon,0.0009656330803409219,0.031074637547135353,30.15187852600588,0.6900273906908798
50_IM-0648-0012_anon,0.0008290928672067821,0.028793971985578537,30.81396829340369,0.7424365651272001
112_IM-0503-0038_anon,0.0009125172509811819,0.03020790033042431,30.39758934181313,0.6931963770626532
523_IM-0135-0066_anon,,,,
208_IM-0094-5376_anon,0.0007461299537681043,0.027315380051732063,31.271855275162928,0.6187124361815094
124_IM-0005-0003_anon,0.0009268327848985791,0.030443929135799408,30.329985755186186,0.722912555692805
48_IM-0751-0006_anon,0.0009084969060495496,0.030141282826662064,30.416765583153122,0.6780416175944719
485_IM-0391-1024_anon,0.000762295036111027,0.0276096910238266,31.17876864988762,0.643597027807203
262_IM-0028-11264_anon,0.0007581417448818684,0.027534373104572296,31.202496103728006,0.6931126313445894
433_IM-0469-0014_anon,0.0010271647479385138,0.03204941004514694,29.88359926733726,0.4990128989134681
202_IM-0234-0028_anon,0.0008838719804771245,0.02972998470067978,30.536106260387776,0.5291910472380791
381_IM-0156-0005_anon,0.0009459582506678998,0.030756434425711632,30.24128053717194,0.7536766943676058
436_IM-0015-0032_anon,0.0007335971458815038,0.027084998786449432,31.345423408667568,0.7308544047433522
40_IM-0118-0002_anon,0.0005553045775741339,0.0235649012029171,32.55468751312338,0.7684773566433021
230_IM-0326-0004_anon,0.0008521298877894878,0.029191263020038605,30.694941482154302,0.5864362002853746
588_IM-0896-12288_anon,0.0009679463692009449,0.031111836433410645,30.141487130585183,0.69177940470859
331_IM-0053-0007_anon,0.000789623474702239,0.028100239112973213,31.025799064700568,0.719589080893778
579_IM-0393-0001_anon,0.0006581112975254655,0.02565368078649044,31.817006448319233,0.7797315710236616
217_IM-0839-0001_anon,,,,
72_IM-0130-0014_anon,0.0007377995061688125,0.0271624643355608,31.320616087064007,0.7652837505491906
367_IM-0378-0021_anon,0.0009408562909811735,0.030673380941152573,30.264766877311473,0.6489617094624692
178_IM-0857-0007_anon,,,,
582_IM-0601-0059_anon,0.0007856773445382714,0.02802993729710579,31.04755783086638,0.6444584517664945
402_IM-0026-0001_anon,0.0008260622271336615,0.028741298243403435,30.8298725155342,0.7509828180650501
130_IM-0650-0053_anon,0.0008525588200427592,0.02919860929250717,30.692756641125357,0.6837657559505891
413_IM-0112-0078_anon,0.0007693060324527323,0.027736365795135498,31.139008321855105,0.7597910706411694
431_IM-0702-0055_anon,,,,
446_IM-0028-0001_anon,0.001179981860332191,0.034350864589214325,29.28124651661345,0.5720170451658787
229_IM-0003-0028_anon,0.0007911450229585171,0.02812729962170124,31.017439021671123,0.6325474348968154
425_IM-0908-0037_anon,,,,
19_IM-0239-0041_anon,0.0008201656746678054,0.028638534247875214,30.86098378049101,0.7066360214429072
278_IM-0069-0016_anon,0.0007681372226215899,0.0277152881026268,31.145612062469855,0.7391413709037513
286_IM-0158-0010_anon,0.0008192093810066581,0.02862183377146721,30.866051254011452,0.7714677032064224
173_IM-0585-0001_anon,0.0009215211030095816,0.03035656549036503,30.354947634285644,0.6469154216492915
283_IM-0045-10496_anon,0.0008456004434265196,0.02907921001315117,30.72834780388529,0.7035122602342179
535_IM-0334-0035_anon,0.000861837062984705,0.02935706079006195,30.64574823525666,0.6249271198323119
409_IM-0787-0013_anon,0.0008878898224793375,0.029797479510307312,30.516409197575534,0.48920882822757294
328_IM-0791-0062_anon,0.0009034248068928719,0.0300570260733366,30.44107973120238,0.5850634719833875
75_IM-0122-0037_anon,0.0007636454538442194,0.027634136378765106,31.17108250173754,0.7351184008083385
